v4_2,CV,CI+/-,calendar-years,Time,uk-only,Geography,age-groups,AgeGroups,sex,Sex,sexual-orientation,SexualOrientation,unit-of-measure,UnitOfMeasure
18,c,6,2014,2014,K02000001,United Kingdom,35-49,35-49,male,Male,other,Other,number,Number
113,b,15,2014,2014,K02000001,United Kingdom,25-34,25-34,female,Female,dont-know-or-refuse,Don't know or refuse,number,Number
199,a,16,2014,2014,K02000001,United Kingdom,65+,65+,female,Female,dont-know-or-refuse,Don't know or refuse,number,Number
94.5,a,0.6,2014,2014,K02000001,United Kingdom,25-34,25-34,male,Male,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
95.1,a,0.5,2014,2014,K02000001,United Kingdom,25-34,25-34,female,Female,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
1.1,c,0.2,2014,2014,K02000001,United Kingdom,25-34,25-34,female,Female,gay-or-lesbian,Gay or lesbian,percentage,Percentage
3.4,b,0.6,2014,2014,K02000001,United Kingdom,16-24,16-24,female,Female,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
17,c,5,2014,2014,K02000001,United Kingdom,50-64,50-64,female,Female,other,Other,number,Number
4842,a,17,2014,2014,K02000001,United Kingdom,65+,65+,male,Male,heterosexual-or-straight,Heterosexual or straight,number,Number
29,d,13,2014,2014,K02000001,United Kingdom,16-24,16-24,male,Male,bisexual,Bisexual,number,Number
139,b,15,2014,2014,K02000001,United Kingdom,50-64,50-64,male,Male,dont-know-or-refuse,Don't know or refuse,number,Number
16,c,4,2014,2014,K02000001,United Kingdom,65+,65+,male,Male,other,Other,number,Number
128,c,26,2014,2014,K02000001,United Kingdom,16-24,16-24,male,Male,dont-know-or-refuse,Don't know or refuse,number,Number
3352,a,30,2014,2014,K02000001,United Kingdom,16-24,16-24,female,Female,heterosexual-or-straight,Heterosexual or straight,number,Number
126,a,12,2014,2014,K02000001,United Kingdom,65+,65+,male,Male,dont-know-or-refuse,Don't know or refuse,number,Number
5774,a,42,2014,2014,K02000001,United Kingdom,50-64,50-64,female,Female,heterosexual-or-straight,Heterosexual or straight,number,Number
65,c,16,2014,2014,K02000001,United Kingdom,16-24,16-24,female,Female,bisexual,Bisexual,number,Number
16,c,5,2014,2014,K02000001,United Kingdom,35-49,35-49,female,Female,other,Other,number,Number
3450,a,37,2014,2014,K02000001,United Kingdom,16-24,16-24,male,Male,heterosexual-or-straight,Heterosexual or straight,number,Number
12,d,5,2014,2014,K02000001,United Kingdom,25-34,25-34,male,Male,other,Other,number,Number
18,c,5,2014,2014,K02000001,United Kingdom,50-64,50-64,male,Male,other,Other,number,Number
4153,a,21,2014,2014,K02000001,United Kingdom,25-34,25-34,female,Female,heterosexual-or-straight,Heterosexual or straight,number,Number
53,b,9,2014,2014,K02000001,United Kingdom,35-49,35-49,female,Female,gay-or-lesbian,Gay or lesbian,number,Number
1.9,b,0.3,2014,2014,K02000001,United Kingdom,35-49,35-49,male,Male,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.2,c,0.1,2014,2014,K02000001,United Kingdom,35-49,35-49,male,Male,bisexual,Bisexual,percentage,Percentage
0.3,c,0.1,2014,2014,K02000001,United Kingdom,65+,65+,male,Male,other,Other,percentage,Percentage
2.5,a,0.2,2014,2014,K02000001,United Kingdom,65+,65+,male,Male,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
1.8,c,0.4,2014,2014,K02000001,United Kingdom,16-24,16-24,female,Female,bisexual,Bisexual,percentage,Percentage
0.9,c,0.2,2014,2014,K02000001,United Kingdom,25-34,25-34,female,Female,bisexual,Bisexual,percentage,Percentage
0.4,d,0.2,2014,2014,K02000001,United Kingdom,16-24,16-24,female,Female,other,Other,percentage,Percentage
0.6,c,0.1,2014,2014,K02000001,United Kingdom,65+,65+,male,Male,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.4,d,0.3,2014,2014,K02000001,United Kingdom,16-24,16-24,male,Male,other,Other,percentage,Percentage
0.1,d,0.1,2014,2014,K02000001,United Kingdom,65+,65+,female,Female,gay-or-lesbian,Gay or lesbian,percentage,Percentage
2.1,c,0.6,2014,2014,K02000001,United Kingdom,16-24,16-24,male,Male,gay-or-lesbian,Gay or lesbian,percentage,Percentage
1.2,b,0.2,2014,2014,K02000001,United Kingdom,50-64,50-64,male,Male,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.3,d,0.1,2014,2014,K02000001,United Kingdom,25-34,25-34,male,Male,other,Other,percentage,Percentage
3,b,0.3,2014,2014,K02000001,United Kingdom,35-49,35-49,male,Male,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
95.8,a,0.3,2014,2014,K02000001,United Kingdom,35-49,35-49,female,Female,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
96.3,a,0.3,2014,2014,K02000001,United Kingdom,50-64,50-64,female,Female,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
2.6,b,0.3,2014,2014,K02000001,United Kingdom,25-34,25-34,female,Female,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
4059,a,25,2014,2014,K02000001,United Kingdom,25-34,25-34,male,Male,heterosexual-or-straight,Heterosexual or straight,number,Number
32,c,10,2014,2014,K02000001,United Kingdom,16-24,16-24,female,Female,gay-or-lesbian,Gay or lesbian,number,Number
114,b,17,2014,2014,K02000001,United Kingdom,25-34,25-34,male,Male,dont-know-or-refuse,Don't know or refuse,number,Number
9,d,4,2014,2014,K02000001,United Kingdom,65+,65+,female,Female,gay-or-lesbian,Gay or lesbian,number,Number
94.7,a,0.4,2014,2014,K02000001,United Kingdom,35-49,35-49,male,Male,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
2.4,b,0.2,2014,2014,K02000001,United Kingdom,50-64,50-64,male,Male,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
95.8,a,0.3,2014,2014,K02000001,United Kingdom,65+,65+,female,Female,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
0.6,c,0.1,2014,2014,K02000001,United Kingdom,50-64,50-64,female,Female,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.3,c,0.1,2014,2014,K02000001,United Kingdom,65+,65+,female,Female,bisexual,Bisexual,percentage,Percentage
5964,a,53,2017,2017,K02000001,United Kingdom,35-49,35-49,male,Male,heterosexual-or-straight,Heterosexual or straight,number,Number
5830,a,51,2017,2017,K02000001,United Kingdom,50-64,50-64,male,Male,heterosexual-or-straight,Heterosexual or straight,number,Number
33,c,10,2017,2017,K02000001,United Kingdom,25-34,25-34,male,Male,bisexual,Bisexual,number,Number
139,b,18,2017,2017,K02000001,United Kingdom,35-49,35-49,male,Male,dont-know-or-refuse,Don't know or refuse,number,Number
60,c,20,2017,2017,K02000001,United Kingdom,16-24,16-24,female,Female,gay-or-lesbian,Gay or lesbian,number,Number
31,c,8,2017,2017,K02000001,United Kingdom,50-64,50-64,female,Female,bisexual,Bisexual,number,Number
23,c,7,2017,2017,K02000001,United Kingdom,25-34,25-34,female,Female,other,Other,number,Number
1.8,b,0.4,2017,2017,K02000001,United Kingdom,25-34,25-34,male,Male,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
91.1,a,1.1,2017,2017,K02000001,United Kingdom,16-24,16-24,female,Female,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
0.5,c,0.1,2017,2017,K02000001,United Kingdom,35-49,35-49,female,Female,other,Other,percentage,Percentage
1.7,b,0.3,2017,2017,K02000001,United Kingdom,25-34,25-34,female,Female,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
95.3,a,0.4,2017,2017,K02000001,United Kingdom,50-64,50-64,male,Male,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
3,b,0.5,2017,2017,K02000001,United Kingdom,25-34,25-34,male,Male,gay-or-lesbian,Gay or lesbian,percentage,Percentage
1.6,c,0.5,2017,2017,K02000001,United Kingdom,16-24,16-24,male,Male,bisexual,Bisexual,percentage,Percentage
0.6,c,0.2,2017,2017,K02000001,United Kingdom,25-34,25-34,male,Male,other,Other,percentage,Percentage
96.6,a,0.3,2017,2017,K02000001,United Kingdom,65+,65+,male,Male,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
2.2,c,0.6,2017,2017,K02000001,United Kingdom,16-24,16-24,male,Male,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.3,c,0.1,2017,2017,K02000001,United Kingdom,65+,65+,male,Male,bisexual,Bisexual,percentage,Percentage
0.6,c,0.1,2017,2017,K02000001,United Kingdom,35-49,35-49,male,Male,other,Other,percentage,Percentage
0.5,c,0.1,2017,2017,K02000001,United Kingdom,50-64,50-64,female,Female,bisexual,Bisexual,percentage,Percentage
96.3,a,0.3,2017,2017,K02000001,United Kingdom,65+,65+,female,Female,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
1.7,c,0.6,2017,2017,K02000001,United Kingdom,16-24,16-24,female,Female,gay-or-lesbian,Gay or lesbian,percentage,Percentage
2.1,b,0.2,2017,2017,K02000001,United Kingdom,50-64,50-64,female,Female,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
94.9,a,0.4,2017,2017,K02000001,United Kingdom,35-49,35-49,male,Male,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
3.5,c,0.8,2017,2017,K02000001,United Kingdom,16-24,16-24,male,Male,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
95.3,a,0.5,2017,2017,K02000001,United Kingdom,25-34,25-34,female,Female,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
0.8,b,0.1,2017,2017,K02000001,United Kingdom,50-64,50-64,female,Female,gay-or-lesbian,Gay or lesbian,percentage,Percentage
3.1,c,0.7,2017,2017,K02000001,United Kingdom,16-24,16-24,female,Female,bisexual,Bisexual,percentage,Percentage
0.4,c,0.1,2017,2017,K02000001,United Kingdom,65+,65+,female,Female,other,Other,percentage,Percentage
0.6,c,0.1,2017,2017,K02000001,United Kingdom,65+,65+,male,Male,other,Other,percentage,Percentage
1.9,b,0.3,2017,2017,K02000001,United Kingdom,35-49,35-49,male,Male,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.7,c,0.2,2017,2017,K02000001,United Kingdom,25-34,25-34,male,Male,bisexual,Bisexual,percentage,Percentage
0.3,c,0.1,2017,2017,K02000001,United Kingdom,65+,65+,female,Female,bisexual,Bisexual,percentage,Percentage
1.2,c,0.2,2017,2017,K02000001,United Kingdom,25-34,25-34,female,Female,gay-or-lesbian,Gay or lesbian,percentage,Percentage
2.9,c,0.6,2017,2017,K02000001,United Kingdom,16-24,16-24,female,Female,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
2,b,0.2,2017,2017,K02000001,United Kingdom,65+,65+,male,Male,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
2.7,a,0.2,2017,2017,K02000001,United Kingdom,65+,65+,female,Female,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
0.4,c,0.1,2017,2017,K02000001,United Kingdom,50-64,50-64,male,Male,bisexual,Bisexual,percentage,Percentage
2.2,b,0.3,2017,2017,K02000001,United Kingdom,35-49,35-49,male,Male,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
0.3,c,0.1,2017,2017,K02000001,United Kingdom,65+,65+,female,Female,gay-or-lesbian,Gay or lesbian,percentage,Percentage
1.2,c,0.2,2017,2017,K02000001,United Kingdom,25-34,25-34,female,Female,bisexual,Bisexual,percentage,Percentage
1.2,c,0.4,2017,2017,K02000001,United Kingdom,16-24,16-24,female,Female,other,Other,percentage,Percentage
0.5,c,0.2,2017,2017,K02000001,United Kingdom,25-34,25-34,female,Female,other,Other,percentage,Percentage
0.5,c,0.1,2017,2017,K02000001,United Kingdom,50-64,50-64,female,Female,other,Other,percentage,Percentage
27,d,12,2017,2017,K02000001,United Kingdom,16-24,16-24,male,Male,other,Other,number,Number
19,c,6,2017,2017,K02000001,United Kingdom,65+,65+,female,Female,gay-or-lesbian,Gay or lesbian,number,Number
91.9,a,1.1,2017,2017,K02000001,United Kingdom,16-24,16-24,male,Male,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
0.7,d,0.3,2017,2017,K02000001,United Kingdom,16-24,16-24,male,Male,other,Other,percentage,Percentage
1.1,b,0.2,2017,2017,K02000001,United Kingdom,35-49,35-49,female,Female,gay-or-lesbian,Gay or lesbian,percentage,Percentage
6187,a,47,2017,2017,K02000001,United Kingdom,35-49,35-49,female,Female,heterosexual-or-straight,Heterosexual or straight,number,Number
35,c,8,2017,2017,K02000001,United Kingdom,35-49,35-49,female,Female,other,Other,number,Number
78,c,22,2017,2017,K02000001,United Kingdom,16-24,16-24,male,Male,gay-or-lesbian,Gay or lesbian,number,Number
82,b,16,2017,2017,K02000001,United Kingdom,25-34,25-34,male,Male,dont-know-or-refuse,Don't know or refuse,number,Number
28,c,7,2017,2017,K02000001,United Kingdom,65+,65+,female,Female,other,Other,number,Number
133,b,14,2017,2017,K02000001,United Kingdom,50-64,50-64,female,Female,dont-know-or-refuse,Don't know or refuse,number,Number
122,b,18,2017,2017,K02000001,United Kingdom,35-49,35-49,male,Male,gay-or-lesbian,Gay or lesbian,number,Number
23,c,6,2017,2017,K02000001,United Kingdom,50-64,50-64,male,Male,bisexual,Bisexual,number,Number
14,c,5,2017,2017,K02000001,United Kingdom,65+,65+,male,Male,bisexual,Bisexual,number,Number
39,c,9,2017,2017,K02000001,United Kingdom,35-49,35-49,male,Male,other,Other,number,Number
38,c,8,2017,2017,K02000001,United Kingdom,35-49,35-49,female,Female,bisexual,Bisexual,number,Number
42,c,15,2017,2017,K02000001,United Kingdom,16-24,16-24,female,Female,other,Other,number,Number
32,c,7,2017,2017,K02000001,United Kingdom,50-64,50-64,female,Female,other,Other,number,Number
4158,a,30,2017,2017,K02000001,United Kingdom,25-34,25-34,male,Male,heterosexual-or-straight,Heterosexual or straight,number,Number
37,c,8,2017,2017,K02000001,United Kingdom,50-64,50-64,male,Male,other,Other,number,Number
3159,a,39,2017,2017,K02000001,United Kingdom,16-24,16-24,female,Female,heterosexual-or-straight,Heterosexual or straight,number,Number
52,c,10,2017,2017,K02000001,United Kingdom,25-34,25-34,female,Female,bisexual,Bisexual,number,Number
78,b,14,2017,2017,K02000001,United Kingdom,25-34,25-34,female,Female,dont-know-or-refuse,Don't know or refuse,number,Number
60,c,19,2017,2017,K02000001,United Kingdom,16-24,16-24,male,Male,bisexual,Bisexual,number,Number
23,c,7,2017,2017,K02000001,United Kingdom,35-49,35-49,male,Male,bisexual,Bisexual,number,Number
6084,a,46,2017,2017,K02000001,United Kingdom,50-64,50-64,female,Female,heterosexual-or-straight,Heterosexual or straight,number,Number
101,c,22,2017,2017,K02000001,United Kingdom,16-24,16-24,female,Female,dont-know-or-refuse,Don't know or refuse,number,Number
93.9,a,0.7,2017,2017,K02000001,United Kingdom,25-34,25-34,male,Male,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
2.2,b,0.2,2017,2017,K02000001,United Kingdom,50-64,50-64,male,Male,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
93,b,14,2017,2017,K02000001,United Kingdom,50-64,50-64,male,Male,gay-or-lesbian,Gay or lesbian,number,Number
134,b,15,2017,2017,K02000001,United Kingdom,50-64,50-64,male,Male,dont-know-or-refuse,Don't know or refuse,number,Number
108,b,13,2017,2017,K02000001,United Kingdom,65+,65+,male,Male,dont-know-or-refuse,Don't know or refuse,number,Number
127,c,29,2017,2017,K02000001,United Kingdom,16-24,16-24,male,Male,dont-know-or-refuse,Don't know or refuse,number,Number
5145,a,18,2017,2017,K02000001,United Kingdom,65+,65+,male,Male,heterosexual-or-straight,Heterosexual or straight,number,Number
131,b,23,2017,2017,K02000001,United Kingdom,25-34,25-34,male,Male,gay-or-lesbian,Gay or lesbian,number,Number
54,c,11,2017,2017,K02000001,United Kingdom,25-34,25-34,female,Female,gay-or-lesbian,Gay or lesbian,number,Number
1.5,b,0.2,2017,2017,K02000001,United Kingdom,50-64,50-64,male,Male,gay-or-lesbian,Gay or lesbian,percentage,Percentage
95.8,a,0.3,2017,2017,K02000001,United Kingdom,35-49,35-49,female,Female,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
131,b,15,2017,2017,K02000001,United Kingdom,35-49,35-49,female,Female,dont-know-or-refuse,Don't know or refuse,number,Number
168,a,15,2017,2017,K02000001,United Kingdom,65+,65+,female,Female,dont-know-or-refuse,Don't know or refuse,number,Number
0.6,c,0.1,2017,2017,K02000001,United Kingdom,65+,65+,male,Male,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.4,c,0.1,2017,2017,K02000001,United Kingdom,35-49,35-49,male,Male,bisexual,Bisexual,percentage,Percentage
0.6,c,0.1,2017,2017,K02000001,United Kingdom,50-64,50-64,male,Male,other,Other,percentage,Percentage
96.1,a,0.3,2017,2017,K02000001,United Kingdom,50-64,50-64,female,Female,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
0.6,c,0.1,2017,2017,K02000001,United Kingdom,35-49,35-49,female,Female,bisexual,Bisexual,percentage,Percentage
2,b,0.2,2017,2017,K02000001,United Kingdom,35-49,35-49,female,Female,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
3326,a,42,2017,2017,K02000001,United Kingdom,16-24,16-24,male,Male,heterosexual-or-straight,Heterosexual or straight,number,Number
25,c,8,2017,2017,K02000001,United Kingdom,25-34,25-34,male,Male,other,Other,number,Number
50,b,10,2017,2017,K02000001,United Kingdom,50-64,50-64,female,Female,gay-or-lesbian,Gay or lesbian,number,Number
18,c,5,2017,2017,K02000001,United Kingdom,65+,65+,female,Female,bisexual,Bisexual,number,Number
30,c,6,2017,2017,K02000001,United Kingdom,65+,65+,male,Male,gay-or-lesbian,Gay or lesbian,number,Number
31,c,7,2017,2017,K02000001,United Kingdom,65+,65+,male,Male,other,Other,number,Number
4240,a,21,2017,2017,K02000001,United Kingdom,25-34,25-34,female,Female,heterosexual-or-straight,Heterosexual or straight,number,Number
6021,a,19,2017,2017,K02000001,United Kingdom,65+,65+,female,Female,heterosexual-or-straight,Heterosexual or straight,number,Number
68,b,11,2017,2017,K02000001,United Kingdom,35-49,35-49,female,Female,gay-or-lesbian,Gay or lesbian,number,Number
107,c,23,2017,2017,K02000001,United Kingdom,16-24,16-24,female,Female,bisexual,Bisexual,number,Number
4135,a,29,2016,2016,K02000001,United Kingdom,25-34,25-34,male,Male,heterosexual-or-straight,Heterosexual or straight,number,Number
125,b,21,2016,2016,K02000001,United Kingdom,25-34,25-34,male,Male,gay-or-lesbian,Gay or lesbian,number,Number
36,c,8,2016,2016,K02000001,United Kingdom,50-64,50-64,female,Female,gay-or-lesbian,Gay or lesbian,number,Number
2.1,c,0.8,2016,2016,K02000001,United Kingdom,16-24,16-24,male,Male,bisexual,Bisexual,percentage,Percentage
0.9,b,0.2,2016,2016,K02000001,United Kingdom,35-49,35-49,female,Female,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.6,c,0.1,2016,2016,K02000001,United Kingdom,50-64,50-64,female,Female,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.5,c,0.1,2016,2016,K02000001,United Kingdom,65+,65+,female,Female,other,Other,percentage,Percentage
94.9,a,0.5,2016,2016,K02000001,United Kingdom,25-34,25-34,female,Female,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
93.8,a,0.7,2016,2016,K02000001,United Kingdom,25-34,25-34,male,Male,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
2.9,c,0.8,2016,2016,K02000001,United Kingdom,16-24,16-24,female,Female,bisexual,Bisexual,percentage,Percentage
2.2,b,0.3,2016,2016,K02000001,United Kingdom,25-34,25-34,female,Female,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
0.4,c,0.1,2016,2016,K02000001,United Kingdom,50-64,50-64,female,Female,other,Other,percentage,Percentage
2.3,b,0.2,2016,2016,K02000001,United Kingdom,50-64,50-64,female,Female,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
96.5,a,0.3,2016,2016,K02000001,United Kingdom,65+,65+,male,Male,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
95.7,a,0.3,2016,2016,K02000001,United Kingdom,65+,65+,female,Female,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
2.3,c,0.6,2016,2016,K02000001,United Kingdom,16-24,16-24,male,Male,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.6,c,0.1,2016,2016,K02000001,United Kingdom,65+,65+,male,Male,gay-or-lesbian,Gay or lesbian,percentage,Percentage
2.3,b,0.3,2016,2016,K02000001,United Kingdom,35-49,35-49,male,Male,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
95.4,a,0.4,2016,2016,K02000001,United Kingdom,50-64,50-64,male,Male,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
0.4,c,0.1,2016,2016,K02000001,United Kingdom,50-64,50-64,male,Male,bisexual,Bisexual,percentage,Percentage
0.5,c,0.1,2016,2016,K02000001,United Kingdom,50-64,50-64,male,Male,other,Other,percentage,Percentage
3.3,a,0.3,2016,2016,K02000001,United Kingdom,65+,65+,female,Female,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
1.1,c,0.4,2016,2016,K02000001,United Kingdom,16-24,16-24,female,Female,gay-or-lesbian,Gay or lesbian,percentage,Percentage
1.3,c,0.3,2016,2016,K02000001,United Kingdom,25-34,25-34,female,Female,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.6,d,0.3,2016,2016,K02000001,United Kingdom,16-24,16-24,male,Male,other,Other,percentage,Percentage
