v4_3,Data Marking,CV,CI+/-,calendar-years,Time,administrative-geography,Geography,sexual-orientation,SexualOrientation,unit-of-measure,UnitOfMeasure
0.7,,a,0.1,2015,2015,K02000001,United Kingdom,bisexual,Bisexual,percentage,Percentage
,x,x,x,2013,2013,K02000001,United Kingdom,bisexual,Bisexual,percentage,Percentage
1201,,a,60,2017,2017,K02000001,United Kingdom,dont-know-or-refuse,Don't know or refuse,number,Number
723,,a,53,2018,2018,K02000001,United Kingdom,gay-or-lesbian,Gay or lesbian,number,Number
457,,a,41,2018,2018,K02000001,United Kingdom,bisexual,Bisexual,number,Number
591,,a,49,2019,2019,K02000001,United Kingdom,bisexual,Bisexual,number,Number
0.3,,b,0,2014,2014,K02000001,United Kingdom,other,Other,percentage,Percentage
,x,x,x,2013,2013,K02000001,United Kingdom,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
0.4,,b,0,2015,2015,K02000001,United Kingdom,other,Other,percentage,Percentage
,x,x,x,2013,2013,K02000001,United Kingdom,other,Other,number,Number
49221,,a,78,2014,2014,K02000001,United Kingdom,heterosexual-or-straight,Heterosexual or straight,number,Number
50114,,a,89,2017,2017,K02000001,United Kingdom,heterosexual-or-straight,Heterosexual or straight,number,Number
49914,,a,112,2019,2019,K02000001,United Kingdom,heterosexual-or-straight,Heterosexual or straight,number,Number
359,,a,35,2019,2019,K02000001,United Kingdom,other,Other,number,Number
1594,,a,75,2019,2019,K02000001,United Kingdom,dont-know-or-refuse,Don't know or refuse,number,Number
314,,a,30,2018,2018,K02000001,United Kingdom,other,Other,number,Number
49590,,a,81,2015,2015,K02000001,United Kingdom,heterosexual-or-straight,Heterosexual or straight,number,Number
94.6,,a,0.2,2018,2018,K02000001,United Kingdom,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
0.9,,a,0.1,2018,2018,K02000001,United Kingdom,bisexual,Bisexual,percentage,Percentage
2.6,,a,0.1,2015,2015,K02000001,United Kingdom,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
2.5,,a,0.1,2016,2016,K02000001,United Kingdom,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
2.3,,a,0.1,2017,2017,K02000001,United Kingdom,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
319,,a,29,2017,2017,K02000001,United Kingdom,other,Other,number,Number
166,,b,19,2014,2014,K02000001,United Kingdom,other,Other,number,Number
564,,a,40,2014,2014,K02000001,United Kingdom,gay-or-lesbian,Gay or lesbian,number,Number
340,,a,33,2015,2015,K02000001,United Kingdom,bisexual,Bisexual,number,Number
1351,,a,68,2018,2018,K02000001,United Kingdom,dont-know-or-refuse,Don't know or refuse,number,Number
,x,x,x,2012,2012,K02000001,United Kingdom,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
1.4,,a,0.1,2018,2018,K02000001,United Kingdom,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.6,,a,0.1,2018,2018,K02000001,United Kingdom,other,Other,percentage,Percentage
0.7,,a,0.1,2019,2019,K02000001,United Kingdom,other,Other,percentage,Percentage
95.2,,a,0.2,2015,2015,K02000001,United Kingdom,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
1.2,,a,0.1,2016,2016,K02000001,United Kingdom,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.5,,a,0,2016,2016,K02000001,United Kingdom,other,Other,percentage,Percentage
,x,x,x,2013,2013,K02000001,United Kingdom,dont-know-or-refuse,Don't know or refuse,number,Number
599,,a,42,2015,2015,K02000001,United Kingdom,gay-or-lesbian,Gay or lesbian,number,Number
95,,a,0.2,2016,2016,K02000001,United Kingdom,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
1.6,,a,0.1,2019,2019,K02000001,United Kingdom,gay-or-lesbian,Gay or lesbian,percentage,Percentage
,x,x,x,2012,2012,E12000003,Yorkshire and The Humber,gay-or-lesbian,Gay or lesbian,number,Number
41,,c,11,2017,2017,E12000003,Yorkshire and The Humber,bisexual,Bisexual,number,Number
4113,,a,31,2019,2019,E12000003,Yorkshire and The Humber,heterosexual-or-straight,Heterosexual or straight,number,Number
53,,c,13,2019,2019,E12000003,Yorkshire and The Humber,gay-or-lesbian,Gay or lesbian,number,Number
,x,x,x,2012,2012,E12000003,Yorkshire and The Humber,other,Other,number,Number
,x,x,x,2013,2013,E12000003,Yorkshire and The Humber,dont-know-or-refuse,Don't know or refuse,number,Number
4099,,a,23,2015,2015,E12000003,Yorkshire and The Humber,heterosexual-or-straight,Heterosexual or straight,number,Number
4103,,a,24,2017,2017,E12000003,Yorkshire and The Humber,heterosexual-or-straight,Heterosexual or straight,number,Number
42,,c,11,2017,2017,E12000003,Yorkshire and The Humber,gay-or-lesbian,Gay or lesbian,number,Number
94,,a,0.7,2019,2019,E12000003,Yorkshire and The Humber,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
,x,x,x,2012,2012,E12000003,Yorkshire and The Humber,heterosexual-or-straight,Heterosexual or straight,number,Number
,x,x,x,2013,2013,E12000003,Yorkshire and The Humber,gay-or-lesbian,Gay or lesbian,percentage,Percentage
41,,c,10,2014,2014,E12000003,Yorkshire and The Humber,gay-or-lesbian,Gay or lesbian,number,Number
,x,x,x,2013,2013,E12000003,Yorkshire and The Humber,gay-or-lesbian,Gay or lesbian,number,Number
4077,,a,22,2014,2014,E12000003,Yorkshire and The Humber,heterosexual-or-straight,Heterosexual or straight,number,Number
4090,,a,26,2016,2016,E12000003,Yorkshire and The Humber,heterosexual-or-straight,Heterosexual or straight,number,Number
21,,c,7,2014,2014,E12000003,Yorkshire and The Humber,bisexual,Bisexual,number,Number
19,,d,8,2014,2014,E12000003,Yorkshire and The Humber,other,Other,number,Number
143,,b,19,2017,2017,E12000003,Yorkshire and The Humber,dont-know-or-refuse,Don't know or refuse,number,Number
127,,b,17,2014,2014,E12000003,Yorkshire and The Humber,dont-know-or-refuse,Don't know or refuse,number,Number
115,,b,16,2015,2015,E12000003,Yorkshire and The Humber,dont-know-or-refuse,Don't know or refuse,number,Number
0.9,,c,0.2,2017,2017,E12000003,Yorkshire and The Humber,bisexual,Bisexual,percentage,Percentage
1.2,,c,0.3,2019,2019,E12000003,Yorkshire and The Humber,gay-or-lesbian,Gay or lesbian,percentage,Percentage
22,,c,7,2016,2016,E12000003,Yorkshire and The Humber,other,Other,number,Number
,x,x,x,2013,2013,E12000003,Yorkshire and The Humber,other,Other,percentage,Percentage
0.4,,c,0.1,2015,2015,E12000003,Yorkshire and The Humber,other,Other,percentage,Percentage
,x,x,x,2013,2013,E12000003,Yorkshire and The Humber,heterosexual-or-straight,Heterosexual or straight,number,Number
48,,c,12,2016,2016,E12000003,Yorkshire and The Humber,gay-or-lesbian,Gay or lesbian,number,Number
56,,c,19,2018,2018,E12000003,Yorkshire and The Humber,gay-or-lesbian,Gay or lesbian,number,Number
1.3,,c,0.4,2018,2018,E12000003,Yorkshire and The Humber,gay-or-lesbian,Gay or lesbian,percentage,Percentage
3.1,,b,0.4,2018,2018,E12000003,Yorkshire and The Humber,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
,x,x,x,2012,2012,E12000003,Yorkshire and The Humber,bisexual,Bisexual,number,Number
,x,x,x,2012,2012,E12000003,Yorkshire and The Humber,bisexual,Bisexual,percentage,Percentage
0.7,,c,0.2,2015,2015,E12000003,Yorkshire and The Humber,bisexual,Bisexual,percentage,Percentage
135,,b,19,2018,2018,E12000003,Yorkshire and The Humber,dont-know-or-refuse,Don't know or refuse,number,Number
,x,x,x,2013,2013,E12000003,Yorkshire and The Humber,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
3.1,,b,0.4,2016,2016,E12000003,Yorkshire and The Humber,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
94.3,,a,0.6,2017,2017,E12000003,Yorkshire and The Humber,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
3.3,,b,0.4,2017,2017,E12000003,Yorkshire and The Humber,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
21,,c,6,2017,2017,E12000003,Yorkshire and The Humber,other,Other,number,Number
4106,,a,29,2018,2018,E12000003,Yorkshire and The Humber,heterosexual-or-straight,Heterosexual or straight,number,Number
144,,b,25,2019,2019,E12000003,Yorkshire and The Humber,dont-know-or-refuse,Don't know or refuse,number,Number
,x,x,x,2012,2012,E12000003,Yorkshire and The Humber,other,Other,percentage,Percentage
,x,x,x,2012,2012,E12000003,Yorkshire and The Humber,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
0.4,,d,0.2,2014,2014,E12000003,Yorkshire and The Humber,other,Other,percentage,Percentage
,x,x,x,2013,2013,E12000003,Yorkshire and The Humber,bisexual,Bisexual,percentage,Percentage
1,,c,0.3,2018,2018,E12000003,Yorkshire and The Humber,bisexual,Bisexual,percentage,Percentage
0.5,,c,0.1,2018,2018,E12000003,Yorkshire and The Humber,other,Other,percentage,Percentage
48,,c,12,2015,2015,E12000003,Yorkshire and The Humber,gay-or-lesbian,Gay or lesbian,number,Number
20,,c,6,2018,2018,E12000003,Yorkshire and The Humber,other,Other,number,Number
20,,c,6,2019,2019,E12000003,Yorkshire and The Humber,other,Other,number,Number
,x,x,x,2012,2012,E12000003,Yorkshire and The Humber,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
47,,c,13,2019,2019,E12000003,Yorkshire and The Humber,bisexual,Bisexual,number,Number
45,,c,11,2018,2018,E12000003,Yorkshire and The Humber,bisexual,Bisexual,number,Number
0.5,,c,0.2,2016,2016,E12000003,Yorkshire and The Humber,other,Other,percentage,Percentage
1.1,,c,0.3,2019,2019,E12000003,Yorkshire and The Humber,bisexual,Bisexual,percentage,Percentage
,x,x,x,2012,2012,E12000003,Yorkshire and The Humber,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.9,,c,0.2,2014,2014,E12000003,Yorkshire and The Humber,gay-or-lesbian,Gay or lesbian,percentage,Percentage
133,,b,17,2016,2016,E12000003,Yorkshire and The Humber,dont-know-or-refuse,Don't know or refuse,number,Number
0.5,,c,0.1,2017,2017,E12000003,Yorkshire and The Humber,other,Other,percentage,Percentage
94.1,,a,0.7,2018,2018,E12000003,Yorkshire and The Humber,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
17,,c,6,2015,2015,E12000003,Yorkshire and The Humber,other,Other,number,Number
41,,d,18,2016,2016,E12000003,Yorkshire and The Humber,bisexual,Bisexual,number,Number
,x,x,x,2013,2013,E12000003,Yorkshire and The Humber,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
3.3,,b,0.6,2019,2019,E12000003,Yorkshire and The Humber,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
1,,d,0.4,2016,2016,E12000003,Yorkshire and The Humber,bisexual,Bisexual,percentage,Percentage
0.5,,c,0.2,2014,2014,E12000003,Yorkshire and The Humber,bisexual,Bisexual,percentage,Percentage
94.4,,a,0.6,2016,2016,E12000003,Yorkshire and The Humber,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
,x,x,x,2012,2012,E12000003,Yorkshire and The Humber,dont-know-or-refuse,Don't know or refuse,number,Number
,x,x,x,2013,2013,E12000003,Yorkshire and The Humber,bisexual,Bisexual,number,Number
,x,x,x,2013,2013,E12000003,Yorkshire and The Humber,other,Other,number,Number
31,,c,9,2015,2015,E12000003,Yorkshire and The Humber,bisexual,Bisexual,number,Number
3,,b,0.4,2014,2014,E12000003,Yorkshire and The Humber,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
95.1,,a,0.5,2015,2015,E12000003,Yorkshire and The Humber,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
1.1,,c,0.3,2015,2015,E12000003,Yorkshire and The Humber,gay-or-lesbian,Gay or lesbian,percentage,Percentage
2.7,,b,0.4,2015,2015,E12000003,Yorkshire and The Humber,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
1.1,,c,0.3,2016,2016,E12000003,Yorkshire and The Humber,gay-or-lesbian,Gay or lesbian,percentage,Percentage
1,,c,0.2,2017,2017,E12000003,Yorkshire and The Humber,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.4,,c,0.1,2019,2019,E12000003,Yorkshire and The Humber,other,Other,percentage,Percentage
95.1,,a,0.5,2014,2014,E12000003,Yorkshire and The Humber,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
26,,c,6,2015,2015,W92000004,Wales,gay-or-lesbian,Gay or lesbian,number,Number
13,,d,6,2015,2015,W92000004,Wales,other,Other,number,Number
,x,x,x,2012,2012,W92000004,Wales,gay-or-lesbian,Gay or lesbian,number,Number
,x,x,x,2012,2012,W92000004,Wales,dont-know-or-refuse,Don't know or refuse,number,Number
0.5,,c,0.2,2014,2014,W92000004,Wales,bisexual,Bisexual,percentage,Percentage
13,,c,4,2014,2014,W92000004,Wales,bisexual,Bisexual,number,Number
49,,b,7,2015,2015,W92000004,Wales,dont-know-or-refuse,Don't know or refuse,number,Number
,x,x,x,2013,2013,W92000004,Wales,gay-or-lesbian,Gay or lesbian,number,Number
28,,c,8,2014,2014,W92000004,Wales,gay-or-lesbian,Gay or lesbian,number,Number
54,,b,6,2014,2014,W92000004,Wales,dont-know-or-refuse,Don't know or refuse,number,Number
2419,,a,14,2018,2018,W92000004,Wales,heterosexual-or-straight,Heterosexual or straight,number,Number
2421,,a,11,2016,2016,W92000004,Wales,heterosexual-or-straight,Heterosexual or straight,number,Number
2407,,a,11,2015,2015,W92000004,Wales,heterosexual-or-straight,Heterosexual or straight,number,Number
2425,,a,13,2017,2017,W92000004,Wales,heterosexual-or-straight,Heterosexual or straight,number,Number
0.5,,d,0.3,2014,2014,W92000004,Wales,other,Other,percentage,Percentage
95.9,,a,0.5,2015,2015,W92000004,Wales,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
,x,x,x,2013,2013,W92000004,Wales,bisexual,Bisexual,percentage,Percentage
,x,x,x,2013,2013,W92000004,Wales,other,Other,percentage,Percentage
42,,b,7,2018,2018,W92000004,Wales,dont-know-or-refuse,Don't know or refuse,number,Number
17,,c,5,2017,2017,W92000004,Wales,bisexual,Bisexual,number,Number
39,,c,9,2018,2018,W92000004,Wales,gay-or-lesbian,Gay or lesbian,number,Number
,x,x,x,2012,2012,W92000004,Wales,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
0.8,,c,0.2,2018,2018,W92000004,Wales,bisexual,Bisexual,percentage,Percentage
95.8,,a,0.5,2017,2017,W92000004,Wales,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
1.9,,c,0.4,2019,2019,W92000004,Wales,gay-or-lesbian,Gay or lesbian,percentage,Percentage
1,,c,0.3,2019,2019,W92000004,Wales,bisexual,Bisexual,percentage,Percentage
1.7,,b,0.3,2018,2018,W92000004,Wales,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
94.4,,a,0.6,2019,2019,W92000004,Wales,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
,x,x,x,2012,2012,W92000004,Wales,bisexual,Bisexual,number,Number
,x,x,x,2012,2012,W92000004,Wales,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
,x,x,x,2013,2013,W92000004,Wales,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
1,,c,0.2,2015,2015,W92000004,Wales,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.4,,c,0.1,2016,2016,W92000004,Wales,other,Other,percentage,Percentage
26,,c,7,2019,2019,W92000004,Wales,bisexual,Bisexual,number,Number
,x,x,x,2012,2012,W92000004,Wales,gay-or-lesbian,Gay or lesbian,percentage,Percentage
,x,x,x,2012,2012,W92000004,Wales,other,Other,percentage,Percentage
0.5,,d,0.2,2015,2015,W92000004,Wales,other,Other,percentage,Percentage
43,,b,8,2017,2017,W92000004,Wales,dont-know-or-refuse,Don't know or refuse,number,Number
34,,c,9,2017,2017,W92000004,Wales,gay-or-lesbian,Gay or lesbian,number,Number
95.7,,a,0.5,2014,2014,W92000004,Wales,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
0.6,,c,0.2,2015,2015,W92000004,Wales,bisexual,Bisexual,percentage,Percentage
0.7,,c,0.2,2016,2016,W92000004,Wales,bisexual,Bisexual,percentage,Percentage
20,,c,6,2018,2018,W92000004,Wales,other,Other,number,Number
,x,x,x,2012,2012,W92000004,Wales,bisexual,Bisexual,percentage,Percentage
1.1,,c,0.3,2014,2014,W92000004,Wales,gay-or-lesbian,Gay or lesbian,percentage,Percentage
1.9,,b,0.2,2016,2016,W92000004,Wales,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
,x,x,x,2013,2013,W92000004,Wales,bisexual,Bisexual,number,Number
10,,c,3,2016,2016,W92000004,Wales,other,Other,number,Number
13,,c,3,2017,2017,W92000004,Wales,other,Other,number,Number
26,,c,6,2016,2016,W92000004,Wales,gay-or-lesbian,Gay or lesbian,number,Number
48,,c,11,2019,2019,W92000004,Wales,gay-or-lesbian,Gay or lesbian,number,Number
21,,c,6,2018,2018,W92000004,Wales,bisexual,Bisexual,number,Number
,x,x,x,2013,2013,W92000004,Wales,gay-or-lesbian,Gay or lesbian,percentage,Percentage
43,,b,6,2019,2019,W92000004,Wales,dont-know-or-refuse,Don't know or refuse,number,Number
1,,c,0.2,2016,2016,W92000004,Wales,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.8,,c,0.2,2018,2018,W92000004,Wales,other,Other,percentage,Percentage
25,,b,4,2019,2019,W92000004,Wales,other,Other,number,Number
47,,b,6,2016,2016,W92000004,Wales,dont-know-or-refuse,Don't know or refuse,number,Number
0.7,,c,0.2,2017,2017,W92000004,Wales,bisexual,Bisexual,percentage,Percentage
18,,c,5,2016,2016,W92000004,Wales,bisexual,Bisexual,number,Number
2408,,a,15,2019,2019,W92000004,Wales,heterosexual-or-straight,Heterosexual or straight,number,Number
1.7,,b,0.2,2019,2019,W92000004,Wales,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
1.3,,c,0.3,2017,2017,W92000004,Wales,gay-or-lesbian,Gay or lesbian,percentage,Percentage
1.7,,b,0.3,2017,2017,W92000004,Wales,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
1,,b,0.2,2019,2019,W92000004,Wales,other,Other,percentage,Percentage
2,,b,0.3,2015,2015,W92000004,Wales,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
,x,x,x,2012,2012,W92000004,Wales,heterosexual-or-straight,Heterosexual or straight,number,Number
2.2,,b,0.2,2014,2014,W92000004,Wales,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
,x,x,x,2012,2012,W92000004,Wales,other,Other,number,Number
,x,x,x,2013,2013,W92000004,Wales,heterosexual-or-straight,Heterosexual or straight,number,Number
12,,d,7,2014,2014,W92000004,Wales,other,Other,number,Number
,x,x,x,2013,2013,W92000004,Wales,dont-know-or-refuse,Don't know or refuse,number,Number
,x,x,x,2013,2013,W92000004,Wales,other,Other,number,Number
14,,c,4,2015,2015,W92000004,Wales,bisexual,Bisexual,number,Number
2396,,a,12,2014,2014,W92000004,Wales,heterosexual-or-straight,Heterosexual or straight,number,Number
96,,a,0.4,2016,2016,W92000004,Wales,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
0.5,,c,0.1,2017,2017,W92000004,Wales,other,Other,percentage,Percentage
1.5,,c,0.4,2018,2018,W92000004,Wales,gay-or-lesbian,Gay or lesbian,percentage,Percentage
95.2,,a,0.6,2018,2018,W92000004,Wales,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
,x,x,x,2013,2013,W92000004,Wales,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
,x,x,x,2013,2013,E92000001,England,other,Other,number,Number
175,,b,20,2015,2015,E92000001,England,other,Other,number,Number
262,,b,28,2018,2018,E92000001,England,other,Other,number,Number
718,,a,61,2019,2019,E92000001,England,gay-or-lesbian,Gay or lesbian,number,Number
331,,b,43,2016,2016,E92000001,England,bisexual,Bisexual,number,Number
1157,,a,57,2016,2016,E92000001,England,dont-know-or-refuse,Don't know or refuse,number,Number
607,,a,46,2017,2017,E92000001,England,gay-or-lesbian,Gay or lesbian,number,Number
383,,b,39,2018,2018,E92000001,England,bisexual,Bisexual,number,Number
94.7,,a,0.2,2017,2017,E92000001,England,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
2.5,,a,0.1,2017,2017,E92000001,England,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
502,,a,47,2019,2019,E92000001,England,bisexual,Bisexual,number,Number
,x,x,x,2013,2013,E92000001,England,gay-or-lesbian,Gay or lesbian,percentage,Percentage
,x,x,x,2013,2013,E92000001,England,bisexual,Bisexual,number,Number
1157,,a,54,2015,2015,E92000001,England,dont-know-or-refuse,Don't know or refuse,number,Number
284,,b,31,2015,2015,E92000001,England,bisexual,Bisexual,number,Number
0.6,,b,0.1,2018,2018,E92000001,England,other,Other,percentage,Percentage
0.7,,b,0.1,2019,2019,E92000001,England,other,Other,percentage,Percentage
487,,a,37,2014,2014,E92000001,England,gay-or-lesbian,Gay or lesbian,number,Number
41595,,a,76,2015,2015,E92000001,England,heterosexual-or-straight,Heterosexual or straight,number,Number
0.8,,b,0.1,2016,2016,E92000001,England,bisexual,Bisexual,percentage,Percentage
2.6,,a,0.1,2016,2016,E92000001,England,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
1.4,,a,0.1,2018,2018,E92000001,England,gay-or-lesbian,Gay or lesbian,percentage,Percentage
2.8,,a,0.1,2018,2018,E92000001,England,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
1093,,a,58,2017,2017,E92000001,England,dont-know-or-refuse,Don't know or refuse,number,Number
628,,a,51,2018,2018,E92000001,England,gay-or-lesbian,Gay or lesbian,number,Number
1.1,,a,0.1,2014,2014,E92000001,England,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.6,,b,0.1,2014,2014,E92000001,England,bisexual,Bisexual,percentage,Percentage
239,,b,26,2014,2014,E92000001,England,bisexual,Bisexual,number,Number
344,,b,35,2017,2017,E92000001,England,bisexual,Bisexual,number,Number
0.8,,b,0.1,2017,2017,E92000001,England,bisexual,Bisexual,percentage,Percentage
0.4,,b,0,2015,2015,E92000001,England,other,Other,percentage,Percentage
0.6,,b,0.1,2017,2017,E92000001,England,other,Other,percentage,Percentage
93.3,,a,0.2,2019,2019,E92000001,England,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
306,,b,34,2019,2019,E92000001,England,other,Other,number,Number
,x,x,x,2013,2013,E92000001,England,other,Other,percentage,Percentage
2.6,,a,0.1,2015,2015,E92000001,England,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
,x,x,x,2012,2012,E92000001,England,bisexual,Bisexual,percentage,Percentage
95.1,,a,0.2,2014,2014,E92000001,England,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
95.1,,a,0.2,2015,2015,E92000001,England,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
1.3,,a,0.1,2016,2016,E92000001,England,gay-or-lesbian,Gay or lesbian,percentage,Percentage
,x,x,x,2012,2012,E92000001,England,bisexual,Bisexual,number,Number
,x,x,x,2013,2013,E92000001,England,heterosexual-or-straight,Heterosexual or straight,number,Number
,x,x,x,2013,2013,E92000001,England,gay-or-lesbian,Gay or lesbian,number,Number
,x,x,x,2013,2013,E92000001,England,dont-know-or-refuse,Don't know or refuse,number,Number
42063,,a,94,2018,2018,E92000001,England,heterosexual-or-straight,Heterosexual or straight,number,Number
244,,b,25,2016,2016,E92000001,England,other,Other,number,Number
