v4_3,Data Marking,CV,CI+/-,calendar-years,Time,administrative-geography,Geography,sexual-orientation,SexualOrientation,unit-of-measure,UnitOfMeasure
4178,,a,23,2014,2014,E12000009,South West,heterosexual-or-straight,Heterosexual or straight,number,Number
120,,b,17,2014,2014,E12000009,South West,dont-know-or-refuse,Don't know or refuse,number,Number
34,,c,10,2015,2015,E12000009,South West,bisexual,Bisexual,number,Number
17,,c,6,2015,2015,E12000009,South West,other,Other,number,Number
97,,b,13,2015,2015,E12000009,South West,dont-know-or-refuse,Don't know or refuse,number,Number
,x,x,x,2012,2012,E12000009,South West,bisexual,Bisexual,number,Number
,x,x,x,2013,2013,E12000009,South West,heterosexual-or-straight,Heterosexual or straight,number,Number
55,,c,12,2016,2016,E12000009,South West,gay-or-lesbian,Gay or lesbian,number,Number
,x,x,x,2012,2012,E12000009,South West,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.5,,c,0.2,2014,2014,E12000009,South West,bisexual,Bisexual,percentage,Percentage
1.1,,c,0.3,2015,2015,E12000009,South West,gay-or-lesbian,Gay or lesbian,percentage,Percentage
2.3,,b,0.3,2017,2017,E12000009,South West,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
1.6,,c,0.3,2018,2018,E12000009,South West,gay-or-lesbian,Gay or lesbian,percentage,Percentage
1.7,,c,0.5,2019,2019,E12000009,South West,gay-or-lesbian,Gay or lesbian,percentage,Percentage
,x,x,x,2012,2012,E12000009,South West,other,Other,number,Number
4257,,a,22,2016,2016,E12000009,South West,heterosexual-or-straight,Heterosexual or straight,number,Number
47,,c,12,2019,2019,E12000009,South West,bisexual,Bisexual,number,Number
,x,x,x,2012,2012,E12000009,South West,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
105,,b,18,2018,2018,E12000009,South West,dont-know-or-refuse,Don't know or refuse,number,Number
4290,,a,26,2018,2018,E12000009,South West,heterosexual-or-straight,Heterosexual or straight,number,Number
95.3,,a,0.5,2014,2014,E12000009,South West,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
18,,d,12,2020,2020,E12000009,South West,other,Other,number,Number
,x,x,x,2012,2012,E12000009,South West,bisexual,Bisexual,percentage,Percentage
77,,c,21,2019,2019,E12000009,South West,gay-or-lesbian,Gay or lesbian,number,Number
,x,x,x,2013,2013,E12000009,South West,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
2,,b,0.3,2016,2016,E12000009,South West,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
,x,x,x,2013,2013,E12000009,South West,bisexual,Bisexual,number,Number
48,,c,12,2014,2014,E12000009,South West,gay-or-lesbian,Gay or lesbian,number,Number
1.1,,c,0.3,2014,2014,E12000009,South West,gay-or-lesbian,Gay or lesbian,percentage,Percentage
,x,x,x,2013,2013,E12000009,South West,dont-know-or-refuse,Don't know or refuse,number,Number
0.4,,c,0.1,2015,2015,E12000009,South West,other,Other,percentage,Percentage
50,,c,11,2015,2015,E12000009,South West,gay-or-lesbian,Gay or lesbian,number,Number
1.4,,c,0.5,2020,2020,E12000009,South West,bisexual,Bisexual,percentage,Percentage
94.4,,a,0.6,2019,2019,E12000009,South West,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
0.4,,c,0.1,2014,2014,E12000009,South West,other,Other,percentage,Percentage
2.2,,b,0.3,2015,2015,E12000009,South West,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
19,,c,7,2018,2018,E12000009,South West,other,Other,number,Number
64,,c,21,2020,2020,E12000009,South West,bisexual,Bisexual,number,Number
,x,x,x,2013,2013,E12000009,South West,bisexual,Bisexual,percentage,Percentage
,x,x,x,2013,2013,E12000009,South West,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
2.5,,b,0.3,2019,2019,E12000009,South West,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
,x,x,x,2012,2012,E12000009,South West,gay-or-lesbian,Gay or lesbian,number,Number
1.6,,c,0.3,2017,2017,E12000009,South West,gay-or-lesbian,Gay or lesbian,percentage,Percentage
2.7,,b,0.4,2014,2014,E12000009,South West,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
4227,,a,21,2015,2015,E12000009,South West,heterosexual-or-straight,Heterosexual or straight,number,Number
19,,c,7,2016,2016,E12000009,South West,other,Other,number,Number
4259,,a,24,2017,2017,E12000009,South West,heterosexual-or-straight,Heterosexual or straight,number,Number
70,,c,15,2018,2018,E12000009,South West,gay-or-lesbian,Gay or lesbian,number,Number
0.8,,c,0.2,2017,2017,E12000009,South West,bisexual,Bisexual,percentage,Percentage
28,,c,8,2018,2018,E12000009,South West,bisexual,Bisexual,number,Number
21,,d,9,2017,2017,E12000009,South West,other,Other,number,Number
0.5,,d,0.2,2017,2017,E12000009,South West,other,Other,percentage,Percentage
2.3,,b,0.4,2018,2018,E12000009,South West,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
18,,d,7,2019,2019,E12000009,South West,other,Other,number,Number
1,,c,0.3,2019,2019,E12000009,South West,bisexual,Bisexual,percentage,Percentage
94.8,,a,0.5,2017,2017,E12000009,South West,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
4301,,a,36,2020,2020,E12000009,South West,heterosexual-or-straight,Heterosexual or straight,number,Number
85,,c,23,2020,2020,E12000009,South West,gay-or-lesbian,Gay or lesbian,number,Number
,x,x,x,2012,2012,E12000009,South West,heterosexual-or-straight,Heterosexual or straight,number,Number
,x,x,x,2012,2012,E12000009,South West,dont-know-or-refuse,Don't know or refuse,number,Number
,x,x,x,2013,2013,E12000009,South West,other,Other,percentage,Percentage
,x,x,x,2012,2012,E12000002,North West,other,Other,percentage,Percentage
,x,x,x,2013,2013,E12000002,North West,bisexual,Bisexual,number,Number
,x,x,x,2012,2012,E12000002,North West,bisexual,Bisexual,number,Number
76,,b,13,2016,2016,E12000002,North West,gay-or-lesbian,Gay or lesbian,number,Number
20,,c,7,2016,2016,E12000002,North West,other,Other,number,Number
0.3,,c,0.1,2014,2014,E12000002,North West,other,Other,percentage,Percentage
1.3,,b,0.2,2015,2015,E12000002,North West,gay-or-lesbian,Gay or lesbian,percentage,Percentage
2.3,,b,0.3,2017,2017,E12000002,North West,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
25,,c,9,2018,2018,E12000002,North West,other,Other,number,Number
190,,b,22,2018,2018,E12000002,North West,dont-know-or-refuse,Don't know or refuse,number,Number
52,,c,15,2019,2019,E12000002,North West,bisexual,Bisexual,number,Number
0.3,,c,0.1,2015,2015,E12000002,North West,other,Other,percentage,Percentage
2.6,,b,0.4,2015,2015,E12000002,North West,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
0.9,,c,0.3,2019,2019,E12000002,North West,bisexual,Bisexual,percentage,Percentage
,x,x,x,2012,2012,E12000002,North West,heterosexual-or-straight,Heterosexual or straight,number,Number
19,,c,6,2014,2014,E12000002,North West,bisexual,Bisexual,number,Number
145,,b,17,2014,2014,E12000002,North West,dont-know-or-refuse,Don't know or refuse,number,Number
39,,c,11,2015,2015,E12000002,North West,bisexual,Bisexual,number,Number
5477,,a,31,2019,2019,E12000002,North West,heterosexual-or-straight,Heterosexual or straight,number,Number
67,,b,12,2014,2014,E12000002,North West,gay-or-lesbian,Gay or lesbian,number,Number
41,,c,11,2017,2017,E12000002,North West,bisexual,Bisexual,number,Number
57,,d,25,2016,2016,E12000002,North West,bisexual,Bisexual,number,Number
88,,c,17,2017,2017,E12000002,North West,gay-or-lesbian,Gay or lesbian,number,Number
93.2,,a,0.7,2020,2020,E12000002,North West,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
0.3,,c,0.1,2016,2016,E12000002,North West,other,Other,percentage,Percentage
1.3,,c,0.3,2019,2019,E12000002,North West,gay-or-lesbian,Gay or lesbian,percentage,Percentage
5464,,a,22,2014,2014,E12000002,North West,heterosexual-or-straight,Heterosexual or straight,number,Number
,x,x,x,2013,2013,E12000002,North West,gay-or-lesbian,Gay or lesbian,percentage,Percentage
150,,b,20,2015,2015,E12000002,North West,dont-know-or-refuse,Don't know or refuse,number,Number
16,,c,6,2014,2014,E12000002,North West,other,Other,number,Number
75,,b,13,2015,2015,E12000002,North West,gay-or-lesbian,Gay or lesbian,number,Number
5511,,a,27,2017,2017,E12000002,North West,heterosexual-or-straight,Heterosexual or straight,number,Number
5487,,a,32,2016,2016,E12000002,North West,heterosexual-or-straight,Heterosexual or straight,number,Number
134,,b,17,2017,2017,E12000002,North West,dont-know-or-refuse,Don't know or refuse,number,Number
81,,c,18,2018,2018,E12000002,North West,gay-or-lesbian,Gay or lesbian,number,Number
,x,x,x,2012,2012,E12000002,North West,bisexual,Bisexual,percentage,Percentage
,x,x,x,2012,2012,E12000002,North West,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
2.3,,b,0.3,2016,2016,E12000002,North West,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
0.7,,c,0.2,2017,2017,E12000002,North West,bisexual,Bisexual,percentage,Percentage
94.2,,a,0.5,2018,2018,E12000002,North West,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
1.4,,c,0.3,2018,2018,E12000002,North West,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.7,,c,0.2,2018,2018,E12000002,North West,bisexual,Bisexual,percentage,Percentage
3.3,,b,0.4,2018,2018,E12000002,North West,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
,x,x,x,2013,2013,E12000002,North West,other,Other,number,Number
78,,c,17,2019,2019,E12000002,North West,gay-or-lesbian,Gay or lesbian,number,Number
112,,b,21,2020,2020,E12000002,North West,gay-or-lesbian,Gay or lesbian,number,Number
,x,x,x,2012,2012,E12000002,North West,gay-or-lesbian,Gay or lesbian,percentage,Percentage
,x,x,x,2013,2013,E12000002,North West,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
1.2,,b,0.2,2014,2014,E12000002,North West,gay-or-lesbian,Gay or lesbian,percentage,Percentage
2.5,,b,0.3,2014,2014,E12000002,North West,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
5428,,a,39,2020,2020,E12000002,North West,heterosexual-or-straight,Heterosexual or straight,number,Number
95,,a,0.5,2016,2016,E12000002,North West,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
5468,,a,30,2018,2018,E12000002,North West,heterosexual-or-straight,Heterosexual or straight,number,Number
40,,c,10,2018,2018,E12000002,North West,bisexual,Bisexual,number,Number
21,,c,8,2020,2020,E12000002,North West,other,Other,number,Number
,x,x,x,2013,2013,E12000002,North West,other,Other,percentage,Percentage
95.1,,a,0.5,2015,2015,E12000002,North West,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
25,,c,9,2019,2019,E12000002,North West,other,Other,number,Number
0.7,,c,0.2,2015,2015,E12000002,North West,bisexual,Bisexual,percentage,Percentage
,x,x,x,2012,2012,E12000002,North West,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
61,,c,20,2020,2020,E12000002,North West,bisexual,Bisexual,number,Number
,x,x,x,2013,2013,E12000002,North West,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
16,,c,5,2015,2015,E12000002,North West,other,Other,number,Number
,x,x,x,2013,2013,E12000002,North West,dont-know-or-refuse,Don't know or refuse,number,Number
134,,b,16,2016,2016,E12000002,North West,dont-know-or-refuse,Don't know or refuse,number,Number
5461,,a,27,2015,2015,E12000002,North West,heterosexual-or-straight,Heterosexual or straight,number,Number
0.4,,c,0.1,2020,2020,E12000002,North West,other,Other,percentage,Percentage
1.1,,c,0.4,2020,2020,E12000002,North West,bisexual,Bisexual,percentage,Percentage
199,,b,26,2020,2020,E12000002,North West,dont-know-or-refuse,Don't know or refuse,number,Number
0.4,,c,0.1,2019,2019,E12000002,North West,other,Other,percentage,Percentage
95.7,,a,0.4,2014,2014,E12000002,North West,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
1.3,,b,0.2,2016,2016,E12000002,North West,gay-or-lesbian,Gay or lesbian,percentage,Percentage
1,,d,0.4,2016,2016,E12000002,North West,bisexual,Bisexual,percentage,Percentage
95.1,,a,0.5,2017,2017,E12000002,North West,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
94.2,,a,0.5,2019,2019,E12000002,North West,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
3.2,,b,0.4,2019,2019,E12000002,North West,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
3.4,,b,0.5,2020,2020,E12000002,North West,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
,x,x,x,2012,2012,E12000002,North West,other,Other,number,Number
,x,x,x,2013,2013,E12000002,North West,gay-or-lesbian,Gay or lesbian,number,Number
0.3,,c,0.1,2014,2014,E12000002,North West,bisexual,Bisexual,percentage,Percentage
0.4,,c,0.1,2018,2018,E12000002,North West,other,Other,percentage,Percentage
20,,c,7,2017,2017,E12000002,North West,other,Other,number,Number
0.3,,c,0.1,2017,2017,E12000002,North West,other,Other,percentage,Percentage
185,,b,21,2019,2019,E12000002,North West,dont-know-or-refuse,Don't know or refuse,number,Number
1.5,,c,0.3,2017,2017,E12000002,North West,gay-or-lesbian,Gay or lesbian,percentage,Percentage
1.9,,b,0.4,2020,2020,E12000002,North West,gay-or-lesbian,Gay or lesbian,percentage,Percentage
,x,x,x,2012,2012,E12000002,North West,gay-or-lesbian,Gay or lesbian,number,Number
,x,x,x,2012,2012,E12000002,North West,dont-know-or-refuse,Don't know or refuse,number,Number
,x,x,x,2013,2013,E12000002,North West,heterosexual-or-straight,Heterosexual or straight,number,Number
,x,x,x,2013,2013,E12000002,North West,bisexual,Bisexual,percentage,Percentage
,x,x,x,2012,2012,E12000006,East of England,gay-or-lesbian,Gay or lesbian,number,Number
,x,x,x,2012,2012,E12000006,East of England,heterosexual-or-straight,Heterosexual or straight,number,Number
,x,x,x,2012,2012,E12000006,East of England,bisexual,Bisexual,number,Number
,x,x,x,2012,2012,E12000006,East of England,other,Other,percentage,Percentage
,x,x,x,2013,2013,E12000006,East of England,heterosexual-or-straight,Heterosexual or straight,number,Number
,x,x,x,2013,2013,E12000006,East of England,dont-know-or-refuse,Don't know or refuse,number,Number
,x,x,x,2013,2013,E12000006,East of England,bisexual,Bisexual,percentage,Percentage
46,,c,13,2014,2014,E12000006,East of England,gay-or-lesbian,Gay or lesbian,number,Number
49,,c,11,2017,2017,E12000006,East of England,other,Other,number,Number
4751,,a,29,2018,2018,E12000006,East of England,heterosexual-or-straight,Heterosexual or straight,number,Number
68,,c,17,2018,2018,E12000006,East of England,dont-know-or-refuse,Don't know or refuse,number,Number
,x,x,x,2012,2012,E12000006,East of England,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.6,,d,0.2,2016,2016,E12000006,East of England,bisexual,Bisexual,percentage,Percentage
45,,c,10,2016,2016,E12000006,East of England,other,Other,number,Number
2.1,,c,0.4,2016,2016,E12000006,East of England,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
2.2,,b,0.4,2015,2015,E12000006,East of England,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
1,,d,0.4,2020,2020,E12000006,East of England,bisexual,Bisexual,percentage,Percentage
33,,c,11,2015,2015,E12000006,East of England,gay-or-lesbian,Gay or lesbian,number,Number
105,,b,18,2015,2015,E12000006,East of England,dont-know-or-refuse,Don't know or refuse,number,Number
27,,d,13,2019,2019,E12000006,East of England,other,Other,number,Number
,x,x,x,2012,2012,E12000006,East of England,bisexual,Bisexual,percentage,Percentage
1.6,,c,0.4,2017,2017,E12000006,East of England,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
77,,c,17,2017,2017,E12000006,East of England,dont-know-or-refuse,Don't know or refuse,number,Number
25,,d,10,2015,2015,E12000006,East of England,bisexual,Bisexual,number,Number
0.5,,d,0.3,2019,2019,E12000006,East of England,other,Other,percentage,Percentage
0.5,,d,0.2,2015,2015,E12000006,East of England,bisexual,Bisexual,percentage,Percentage
1.8,,c,0.5,2020,2020,E12000006,East of England,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
95.7,,a,0.6,2016,2016,E12000006,East of England,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
0.8,,c,0.2,2017,2017,E12000006,East of England,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.7,,d,0.3,2017,2017,E12000006,East of England,bisexual,Bisexual,percentage,Percentage
0.5,,c,0.2,2018,2018,E12000006,East of England,other,Other,percentage,Percentage
1.8,,c,0.4,2019,2019,E12000006,East of England,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
27,,d,11,2014,2014,E12000006,East of England,bisexual,Bisexual,number,Number
104,,c,21,2016,2016,E12000006,East of England,dont-know-or-refuse,Don't know or refuse,number,Number
,x,x,x,2013,2013,E12000006,East of England,bisexual,Bisexual,number,Number
22,,c,7,2014,2014,E12000006,East of England,other,Other,number,Number
31,,c,10,2016,2016,E12000006,East of England,gay-or-lesbian,Gay or lesbian,number,Number
50,,d,22,2020,2020,E12000006,East of England,bisexual,Bisexual,number,Number
96.1,,a,0.5,2014,2014,E12000006,East of England,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
2,,b,0.3,2014,2014,E12000006,East of England,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
0.6,,c,0.2,2016,2016,E12000006,East of England,gay-or-lesbian,Gay or lesbian,percentage,Percentage
,x,x,x,2012,2012,E12000006,East of England,other,Other,number,Number
,x,x,x,2012,2012,E12000006,East of England,dont-know-or-refuse,Don't know or refuse,number,Number
4650,,a,25,2015,2015,E12000006,East of England,heterosexual-or-straight,Heterosexual or straight,number,Number
4674,,a,28,2016,2016,E12000006,East of England,heterosexual-or-straight,Heterosexual or straight,number,Number
33,,d,13,2017,2017,E12000006,East of England,bisexual,Bisexual,number,Number
0.7,,c,0.2,2015,2015,E12000006,East of England,other,Other,percentage,Percentage
95.9,,a,0.6,2017,2017,E12000006,East of England,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
1,,c,0.2,2017,2017,E12000006,East of England,other,Other,percentage,Percentage
1.4,,c,0.3,2018,2018,E12000006,East of England,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
48,,c,17,2019,2019,E12000006,East of England,bisexual,Bisexual,number,Number
,x,x,x,2013,2013,E12000006,East of England,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
67,,c,21,2020,2020,E12000006,East of England,gay-or-lesbian,Gay or lesbian,number,Number
4751,,a,33,2019,2019,E12000006,East of England,heterosexual-or-straight,Heterosexual or straight,number,Number
58,,c,17,2019,2019,E12000006,East of England,gay-or-lesbian,Gay or lesbian,number,Number
4775,,a,40,2020,2020,E12000006,East of England,heterosexual-or-straight,Heterosexual or straight,number,Number
90,,c,23,2020,2020,E12000006,East of England,dont-know-or-refuse,Don't know or refuse,number,Number
,x,x,x,2012,2012,E12000006,East of England,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
,x,x,x,2013,2013,E12000006,East of England,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
34,,c,8,2015,2015,E12000006,East of England,other,Other,number,Number
4615,,a,25,2014,2014,E12000006,East of England,heterosexual-or-straight,Heterosexual or straight,number,Number
94,,b,15,2014,2014,E12000006,East of England,dont-know-or-refuse,Don't know or refuse,number,Number
,x,x,x,2013,2013,E12000006,East of England,gay-or-lesbian,Gay or lesbian,percentage,Percentage
1,,c,0.4,2018,2018,E12000006,East of England,bisexual,Bisexual,percentage,Percentage
,x,x,x,2013,2013,E12000006,East of England,other,Other,percentage,Percentage
1,,c,0.3,2014,2014,E12000006,East of England,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.5,,c,0.1,2014,2014,E12000006,East of England,other,Other,percentage,Percentage
0.4,,d,0.3,2020,2020,E12000006,East of England,other,Other,percentage,Percentage
4709,,a,27,2017,2017,E12000006,East of England,heterosexual-or-straight,Heterosexual or straight,number,Number
39,,c,12,2017,2017,E12000006,East of England,gay-or-lesbian,Gay or lesbian,number,Number
1,,c,0.3,2019,2019,E12000006,East of England,bisexual,Bisexual,percentage,Percentage
0.6,,d,0.2,2014,2014,E12000006,East of England,bisexual,Bisexual,percentage,Percentage
96.1,,a,0.6,2018,2018,E12000006,East of England,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
1.2,,c,0.4,2019,2019,E12000006,East of England,gay-or-lesbian,Gay or lesbian,percentage,Percentage
95.5,,a,0.8,2020,2020,E12000006,East of England,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
1.3,,c,0.4,2020,2020,E12000006,East of England,gay-or-lesbian,Gay or lesbian,percentage,Percentage
20,,d,14,2020,2020,E12000006,East of England,other,Other,number,Number
,x,x,x,2013,2013,E12000006,East of England,other,Other,number,Number
,x,x,x,2013,2013,E12000006,East of England,gay-or-lesbian,Gay or lesbian,number,Number
,x,x,x,2012,2012,E12000006,East of England,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
95.9,,a,0.5,2015,2015,E12000006,East of England,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
49,,c,18,2018,2018,E12000006,East of England,bisexual,Bisexual,number,Number
28,,d,12,2016,2016,E12000006,East of England,bisexual,Bisexual,number,Number
0.7,,c,0.2,2015,2015,E12000006,East of England,gay-or-lesbian,Gay or lesbian,percentage,Percentage
53,,c,15,2018,2018,E12000006,East of England,gay-or-lesbian,Gay or lesbian,number,Number
24,,c,8,2018,2018,E12000006,East of England,other,Other,number,Number
1.1,,c,0.3,2018,2018,E12000006,East of England,gay-or-lesbian,Gay or lesbian,percentage,Percentage
95.5,,a,0.7,2019,2019,E12000006,East of England,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
91,,c,21,2019,2019,E12000006,East of England,dont-know-or-refuse,Don't know or refuse,number,Number
0.9,,c,0.2,2016,2016,E12000006,East of England,other,Other,percentage,Percentage
,x,x,x,2013,2013,S92000003,Scotland,gay-or-lesbian,Gay or lesbian,number,Number
,x,x,x,2013,2013,S92000003,Scotland,bisexual,Bisexual,number,Number
,x,x,x,2012,2012,S92000003,Scotland,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
,x,x,x,2013,2013,S92000003,Scotland,heterosexual-or-straight,Heterosexual or straight,number,Number
11,,c,4,2014,2014,S92000003,Scotland,other,Other,number,Number
16,,d,8,2015,2015,S92000003,Scotland,other,Other,number,Number
44,,c,10,2018,2018,S92000003,Scotland,gay-or-lesbian,Gay or lesbian,number,Number
18,,c,6,2017,2017,S92000003,Scotland,other,Other,number,Number
1.6,,b,0.3,2015,2015,S92000003,Scotland,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
95.9,,a,0.6,2016,2016,S92000003,Scotland,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
1,,c,0.3,2020,2020,S92000003,Scotland,bisexual,Bisexual,percentage,Percentage
,x,x,x,2013,2013,S92000003,Scotland,other,Other,number,Number
70,,b,12,2016,2016,S92000003,Scotland,dont-know-or-refuse,Don't know or refuse,number,Number
47,,c,13,2018,2018,S92000003,Scotland,bisexual,Bisexual,number,Number
65,,c,13,2019,2019,S92000003,Scotland,gay-or-lesbian,Gay or lesbian,number,Number
,x,x,x,2013,2013,S92000003,Scotland,dont-know-or-refuse,Don't know or refuse,number,Number
1,,d,0.4,2016,2016,S92000003,Scotland,bisexual,Bisexual,percentage,Percentage
4237,,a,26,2016,2016,S92000003,Scotland,heterosexual-or-straight,Heterosexual or straight,number,Number
4280,,a,22,2018,2018,S92000003,Scotland,heterosexual-or-straight,Heterosexual or straight,number,Number
0.2,,c,0.1,2014,2014,S92000003,Scotland,other,Other,percentage,Percentage
53,,c,13,2016,2016,S92000003,Scotland,gay-or-lesbian,Gay or lesbian,number,Number
96.3,,a,0.5,2015,2015,S92000003,Scotland,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
1.2,,c,0.3,2019,2019,S92000003,Scotland,bisexual,Bisexual,percentage,Percentage
0.6,,c,0.2,2015,2015,S92000003,Scotland,bisexual,Bisexual,percentage,Percentage
0.4,,d,0.2,2015,2015,S92000003,Scotland,other,Other,percentage,Percentage
1,,c,0.3,2015,2015,S92000003,Scotland,gay-or-lesbian,Gay or lesbian,percentage,Percentage
1.2,,c,0.3,2016,2016,S92000003,Scotland,gay-or-lesbian,Gay or lesbian,percentage,Percentage
96.6,,a,0.4,2017,2017,S92000003,Scotland,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
,x,x,x,2013,2013,S92000003,Scotland,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
14,,c,5,2014,2014,S92000003,Scotland,bisexual,Bisexual,number,Number
72,,b,11,2015,2015,S92000003,Scotland,dont-know-or-refuse,Don't know or refuse,number,Number
73,,b,11,2014,2014,S92000003,Scotland,dont-know-or-refuse,Don't know or refuse,number,Number
,x,x,x,2012,2012,S92000003,Scotland,bisexual,Bisexual,number,Number
50,,c,12,2017,2017,S92000003,Scotland,gay-or-lesbian,Gay or lesbian,number,Number
,x,x,x,2013,2013,S92000003,Scotland,bisexual,Bisexual,percentage,Percentage
,x,x,x,2013,2013,S92000003,Scotland,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
